NAME	FAB_NAME	POSITION_X	POSITION_Y	ZCU_NAME	ZCU_TYPE
rn_A10_1	SMT	139206.2992	73958.33333	ZCU_A10_1	NONE
rn_A10_10	SMT	139206.2992	126041.6667	ZCU_A10_5	RESET
rn_A10_11	SMT	139206.2992	135208.3333	ZCU_A10_6	STOP
rn_A10_12	SMT	139206.2992	136458.3333	ZCU_A10_6	NONE
rn_A10_13	SMT	141058.2677	136458.3333	ZCU_A10_6	RESET
rn_A10_14	SMT	144144.8819	136458.3333	ZCU_A10_7	STOP
rn_A10_15	SMT	145996.8504	136458.3333	ZCU_A10_7	NONE
rn_A10_16	SMT	145996.8504	135208.3333	ZCU_A10_7	RESET
rn_A10_17	SMT	145996.8504	126041.6667	ZCU_A10_8	STOP
rn_A10_18	SMT	145996.8504	124791.6667	ZCU_A10_8	RESET
rn_A10_19	SMT	145996.8504	113541.6667	ZCU_A10_9	STOP
rn_A10_2	SMT	139206.2992	75208.33333	ZCU_A10_1	RESET
rn_A10_20	SMT	145996.8504	112291.6667	ZCU_A10_9	RESET
rn_A10_21	SMT	145996.8504	98125	ZCU_A10_10	STOP
rn_A10_22	SMT	145996.8504	96875	ZCU_A10_10	RESET
rn_A10_23	SMT	145996.8504	85625	ZCU_A10_11	STOP
rn_A10_24	SMT	145996.8504	84375	ZCU_A10_11	RESET
rn_A10_25	SMT	145996.8504	75208.33333	ZCU_A10_12	STOP
rn_A10_26	SMT	145996.8504	73958.33333	ZCU_A10_12	NONE
rn_A10_27	SMT	144144.8819	73958.33333	ZCU_A10_12	RESET
rn_A10_28	SMT	141058.2677	73958.33333	ZCU_A10_1	STOP
rn_A10_29	SMT	141058.2677	98125	ZCU_A10_3	RESET
rn_A10_3	SMT	139206.2992	84375	ZCU_A10_2	STOP
rn_A10_30	SMT	144144.8819	98125	ZCU_A10_10	STOP
rn_A10_31	SMT	144144.8819	112291.6667	ZCU_A10_9	RESET
rn_A10_32	SMT	141058.2677	112291.6667	ZCU_A10_4	STOP
rn_A10_33	SMT	137691.0522	126041.6667	ZCU_A10_5	RESET
rn_A10_34	SMT	132387.6879	126041.6667	ZCU_A9_8	STOP
rn_A10_35	SMT	147512.0974	84375	ZCU_A10_11	RESET
rn_A10_36	SMT	152815.4617	84375	ZCU_A11_2	STOP
rn_A10_4	SMT	139206.2992	85625	ZCU_A10_2	RESET
rn_A10_5	SMT	139206.2992	96875	ZCU_A10_3	STOP
rn_A10_6	SMT	139206.2992	98125	ZCU_A10_3	RESET
rn_A10_7	SMT	139206.2992	112291.6667	ZCU_A10_4	STOP
rn_A10_8	SMT	139206.2992	113541.6667	ZCU_A10_4	RESET
rn_A10_9	SMT	139206.2992	124791.6667	ZCU_A10_5	STOP
rn_A11_1	SMT	154330.7087	73958.33333	ZCU_A11_1	NONE
rn_A11_10	SMT	154330.7087	126041.6667	ZCU_A11_5	RESET
rn_A11_11	SMT	154330.7087	135208.3333	ZCU_A11_6	STOP
rn_A11_12	SMT	154330.7087	136458.3333	ZCU_A11_6	NONE
rn_A11_13	SMT	156182.6772	136458.3333	ZCU_A11_6	RESET
rn_A11_14	SMT	159269.2913	136458.3333	ZCU_A11_7	STOP
rn_A11_15	SMT	161121.2598	136458.3333	ZCU_A11_7	NONE
