NAME	TOOL_GROUP	BAY	WIDTH	HEIGHT	POSITION_X	POSITION_Y
COMMIT1	COMMIT	InterBay1	2090,688	2090,688	4960,629921	-4544,005102
COMMIT2	COMMIT	InterBay1	2090,688	2090,688	292322,8346	-4544,005102
COMMIT3	COMMIT	InterBay3	2090,688	2090,688	8031,496063	146210,1403
COMMIT4	COMMIT	InterBay3	2090,688	2090,688	295393,7008	146210,1403
COMPLETE1	COMPLETE	InterBay1	2090,688	2090,688	8031,496063	-4544,005102
COMPLETE2	COMPLETE	InterBay1	2090,688	2090,688	295393,7008	-4544,005102
COMPLETE3	COMPLETE	InterBay3	2090,688	2090,688	4960,629921	146210,1403
COMPLETE4	COMPLETE	InterBay3	2090,688	2090,688	292322,8346	146210,1403
DIE0101	Dielectric_BE_20	A16	2482,66825	2613,335	238371,6333	77291,71596
DIE0102	Dielectric_BE_20	A17	2482,66825	2613,335	243449,1159	78886,10371
DIE0103	Dielectric_BE_20	A17	2482,66825	2613,335	243449,1159	82011,10571
DIE0104	Dielectric_BE_20	A17	2482,66825	2613,335	243449,1159	87708,38927
DIE0105	Dielectric_BE_20	A17	2482,66825	2613,335	243449,1159	90208,39086
DIE0106	Dielectric_BE_20	A17	2482,66825	2613,335	243449,1159	92708,39246
DIE0107	Dielectric_BE_21	A17	2482,66825	2613,335	243449,1159	95208,39405
DIE0108	Dielectric_BE_21	A17	2482,66825	2613,335	243449,1159	101250,0646
DIE0109	Dielectric_BE_21	A17	2482,66825	2613,335	243449,1159	104375,0666
DIE0110	Dielectric_BE_21	A17	2482,66825	2613,335	243449,1159	107500,0686
DIE0111	Dielectric_BE_21	A17	2482,66825	2613,335	243449,1159	110625,0706
DIE0112	Dielectric_BE_21	A17	2482,66825	2613,335	243449,1159	115625,0737
DIE0113	Dielectric_BE_21	A17	2482,66825	2613,335	243449,1159	118750,0757
DIE0114	Dielectric_BE_21	A17	2482,66825	2613,335	243449,1159	121875,0777
DIE0115	Dielectric_BE_27	A17	2482,66825	2613,335	243449,1159	128125,0817
DIE0116	Dielectric_BE_27	A17	2482,66825	2613,335	243449,1159	130625,0833
DIE0117	Dielectric_BE_27	A17	2482,66825	2613,335	243449,1159	133125,0849
DIE0118	Dielectric_BE_27	A17	2482,66825	3658,669	253496,0515	133125,0849
DIE0119	Dielectric_BE_27	A17	2482,66825	3658,669	253496,0515	130000,0829
DIE0120	Dielectric_BE_27	A17	2482,66825	3658,669	253496,0515	122708,4116
DIE0121	Dielectric_BE_27	A17	2482,66825	2613,335	253496,0515	120208,41
DIE0122	Dielectric_BE_27	A17	2482,66825	2613,335	253496,0515	117708,4084
DIE0123	Dielectric_BE_27	A17	2482,66825	2613,335	253496,0515	115208,4068
DIE0124	Dielectric_BE_27	A17	2482,66825	2613,335	253496,0515	110000,0702
DIE0125	Dielectric_BE_27	A17	2482,66825	2613,335	253496,0515	107500,0686
DIE0126	Dielectric_BE_27	A17	2482,66825	2613,335	253496,0515	105000,067
DIE0127	Dielectric_BE_27	A17	2482,66825	2613,335	253496,0515	102500,0654
DIE0128	Dielectric_BE_27	A17	2482,66825	2613,335	253496,0515	100000,0638
DIE0129	Dielectric_BE_27	A17	2482,66825	2613,335	253496,0515	93333,39286
DIE0130	Dielectric_BE_28	A17	2482,66825	2613,335	253496,0515	88333,38967
DIE0131	Dielectric_BE_28	A17	2482,66825	2613,335	253496,0515	78750,05022
DIE0132	Dielectric_BE_28	A18	2482,66825	2613,335	258573,534	78886,10371
DIE0133	Dielectric_BE_28	A18	2482,66825	2613,335	258573,534	82011,10571
DIE0134	Dielectric_BE_60	A18	2482,66825	2613,335	258573,534	87708,38927
DIE0135	Dielectric_BE_60	A18	2482,66825	2613,335	258573,534	90208,39086
DIE0136	Dielectric_BE_60	A18	2482,66825	2613,335	258573,534	92708,39246
DIE0137	Dielectric_BE_60	A18	2482,66825	2613,335	258573,534	95208,39405
DIE0138	Dielectric_BE_60	A18	2482,66825	2613,335	258573,534	101250,0646
DIE0139	Dielectric_BE_60	A18	2482,66825	2613,335	258573,534	104375,0666
DIE0140	Dielectric_BE_60	A18	2482,66825	2613,335	258573,534	107500,0686
DIE0141	Dielectric_FE_112	A18	2482,66825	2613,335	258573,534	110625,0706
DIE0142	Dielectric_FE_112	A18	2482,66825	2613,335	258573,534	115625,0737
DIE0143	Dielectric_FE_112	A18	2482,66825	2613,335	258573,534	118750,0757
DIE0144	Dielectric_FE_112	A18	2482,66825	2613,335	258573,534	121875,0777
DIE0145	Dielectric_FE_112	A18	2482,66825	2613,335	258573,534	128125,0817
DIE0146	Dielectric_FE_112	A18	2482,66825	2613,335	258573,534	130625,0833
DIE0147	Dielectric_FE_112	A18	2482,66825	2613,335	258573,534	133125,0849
DIE0148	Dielectric_FE_112	A18	2482,66825	3658,669	268620,4695	133125,0849
DIE0149	Dielectric_FE_112	A18	2482,66825	3658,669	268620,4695	130000,0829
DIE0150	Dielectric_FE_112	A18	2482,66825	3658,669	268620,4695	122708,4116
DIE0151	Dielectric_FE_112	A18	2482,66825	2613,335	268620,4695	120208,41
DIE0152	Dielectric_FE_130	A18	2482,66825	2613,335	268620,4695	117708,4084
DIE0153	Dielectric_FE_130	A18	2482,66825	2613,335	268620,4695	115208,4068
DIE0154	Dielectric_FE_130	A18	2482,66825	2613,335	268620,4695	110000,0702
DIE0155	Dielectric_FE_130	A18	2482,66825	2613,335	268620,4695	107500,0686
DIE0156	Dielectric_FE_130	A18	2482,66825	2613,335	268620,4695	105000,067
DIE0157	Dielectric_FE_29	A18	2482,66825	2613,335	268620,4695	102500,0654
DIE0158	Dielectric_FE_29	A18	2482,66825	2613,335	268620,4695	100000,0638
DIE0159	Dielectric_FE_29	A18	2482,66825	2613,335	268620,4695	93333,39286
DIE0160	Dielectric_FE_29	A18	2482,66825	2613,335	268620,4695	88333,38967
DIE0161	Dielectric_FE_30	A18	2482,66825	2613,335	268620,4695	78750,05022
DIE0162	Dielectric_FE_30	A19	2482,66825	2090,668	273697,9521	78677,77025
DIE0163	Dielectric_FE_31	A19	2482,66825	2090,668	273697,9521	80761,10491
DIE0164	Dielectric_FE_31	A19	2482,66825	2090,668	273697,9521	82844,43957
DIE0165	Dielectric_FE_31	A19	2482,66825	2090,668	273697,9521	87500,0558
DIE0166	Dielectric_FE_31	A19	2482,66825	2090,668	273697,9521	89583,39047
DIE0167	Dielectric_FE_31	A19	2482,66825	2090,668	273697,9521	91666,72513
DIF0101	Diffusion_BE_123	A19	2482,66825	2090,668	273697,9521	93750,05979
DIF0102	Diffusion_BE_123	A19	2482,66825	2090,668	273697,9521	100000,0638
DIF0103	Diffusion_BE_123	A19	2482,66825	2090,668	273697,9521	102083,3984
DIF0104	Diffusion_BE_123	A19	2482,66825	2090,668	273697,9521	104166,7331
DIF0105	Diffusion_BE_123	A19	2482,66825	2090,668	273697,9521	106250,0678
DIF0106	Diffusion_BE_123	A19	2482,66825	2090,668	273697,9521	108333,4024
DIF0107	Diffusion_BE_123	A19	2482,66825	2090,668	273697,9521	110416,7371
DIF0108	Diffusion_BE_123	A19	2482,66825	2090,668	273697,9521	115416,7403
DIF0109	Diffusion_BE_123	A19	2482,66825	2090,668	273697,9521	117500,0749
DIF0110	Diffusion_FE_100	A19	2482,66825	2090,668	273697,9521	119583,4096
DIF0111	Diffusion_FE_100	A19	2482,66825	2090,668	273697,9521	121666,7443
DIF0112	Diffusion_FE_100	A19	2482,66825	2090,668	273697,9521	127916,7482
DIF0113	Diffusion_FE_100	A19	2482,66825	2090,668	273697,9521	130000,0829
DIF0114	Diffusion_FE_101	A19	2482,66825	2090,668	273697,9521	132083,4176
DIF0115	Diffusion_FE_101	A19	2482,66825	2090,668	283744,8876	133333,4184
DIF0116	Diffusion_FE_101	A19	2482,66825	2090,668	283744,8876	131250,0837
DIF0117	Diffusion_FE_101	A19	2482,66825	2090,668	283744,8876	129166,749
DIF0118	Diffusion_FE_101	A19	2482,66825	2090,668	283744,8876	122916,7451
DIF0119	Diffusion_FE_101	A19	2482,66825	2090,668	283744,8876	120833,4104
DIF0120	Diffusion_FE_101	A19	2482,66825	2090,668	283744,8876	118750,0757
DIF0121	Diffusion_FE_101	A19	2482,66825	2090,668	283744,8876	116666,7411
DIF0122	Diffusion_FE_101	A19	2482,66825	2090,668	283744,8876	110416,7371
DIF0123	Diffusion_FE_101	A19	2482,66825	2090,668	283744,8876	108333,4024
DIF0124	Diffusion_FE_120	A19	2482,66825	2090,668	283744,8876	106250,0678
DIF0125	Diffusion_FE_120	A19	2482,66825	2090,668	283744,8876	104166,7331
DIF0126	Diffusion_FE_120	A19	2482,66825	2090,668	283744,8876	102083,3984
DIF0127	Diffusion_FE_120	A19	2482,66825	2090,668	283744,8876	100000,0638
DIF0128	Diffusion_FE_120	A19	2482,66825	2090,668	283744,8876	95000,06059
DIF0129	Diffusion_FE_120	A19	2482,66825	2090,668	283744,8876	92916,72592
DIF0130	Diffusion_FE_120	A19	2482,66825	2090,668	283744,8876	90833,39126
DIF0131	Diffusion_FE_120	A19	2482,66825	2090,668	283744,8876	88750,0566
DIF0132	Diffusion_FE_122	A19	2482,66825	2090,668	283744,8876	82500,05261
DIF0133	Diffusion_FE_122	A19	2482,66825	2090,668	283744,8876	80416,71795
DIF0134	Diffusion_FE_122	A19	2482,66825	2090,668	283744,8876	78333,38329
DIF0135	Diffusion_FE_122	A20	2482,66825	2090,668	288822,3703	78677,77025
DIF0136	Diffusion_FE_122	A20	2482,66825	2090,668	288822,3703	80761,10491
DIF0137	Diffusion_FE_122	A20	2482,66825	2090,668	288822,3703	82844,43957
DIF0138	Diffusion_FE_125	A20	2482,66825	2090,668	288822,3703	87500,0558
DIF0139	Diffusion_FE_125	A20	2482,66825	2090,668	288822,3703	89583,39047
DIF0140	Diffusion_FE_125	A20	2482,66825	2090,668	288822,3703	91666,72513
DIF0141	Diffusion_FE_125	A20	2482,66825	2090,668	288822,3703	93750,05979
DIF0142	Diffusion_FE_125	A20	2482,66825	2090,668	288822,3703	100000,0638
DIF0143	Diffusion_FE_126	A20	2482,66825	2090,668	288822,3703	102083,3984
DIF0144	Diffusion_FE_126	A20	2482,66825	2090,668	288822,3703	104166,7331
DIF0145	Diffusion_FE_126	A20	2482,66825	2090,668	288822,3703	106250,0678
DIF0146	Diffusion_FE_126	A20	2482,66825	2090,668	288822,3703	108333,4024
DIF0147	Diffusion_FE_127	A20	2482,66825	2090,668	288822,3703	110416,7371
DIF0148	Diffusion_FE_127	A20	2482,66825	2090,668	288822,3703	115416,7403
DIF0149	Diffusion_FE_127	A20	2482,66825	2090,668	288822,3703	117500,0749
DIF0150	Diffusion_FE_127	A20	2482,66825	2090,668	288822,3703	119583,4096
DIF0151	Diffusion_FE_127	A20	2482,66825	2090,668	288822,3703	121666,7443
DIF0152	Diffusion_FE_127	A20	2482,66825	2090,668	288822,3703	127916,7482
DIF0153	Diffusion_FE_127	A20	2482,66825	2090,668	288822,3703	130000,0829
DIF0154	Diffusion_FE_127	A20	2482,66825	2090,668	288822,3703	132083,4176
DIF0155	Diffusion_FE_44	A20	2482,66825	2090,668	298869,3058	133333,4184
DIF0156	Diffusion_FE_44	A20	2482,66825	2090,668	298869,3058	131250,0837
DIF0157	Diffusion_FE_44	A20	2482,66825	2090,668	298869,3058	129166,749
DIF0158	Diffusion_FE_44	A20	2482,66825	2090,668	298869,3058	122916,7451
DIF0159	Diffusion_FE_44	A20	2482,66825	2090,668	298869,3058	120833,4104
DIF0160	Diffusion_FE_44	A20	2482,66825	2090,668	298869,3058	118750,0757
DIF0161	Diffusion_FE_44	A20	2482,66825	2090,668	298869,3058	116666,7411
DIF0162	Diffusion_FE_94	A20	2482,66825	2090,668	298869,3058	110416,7371
DIF0163	Diffusion_FE_94	A20	2482,66825	2090,668	298869,3058	108333,4024
