NAME	FAB_NAME	PORT_TYPE	EQP_NAME	RAILLINE_NAME	DISTANCE
A10_LSTB_100_Port	SMT	LSTB	,	rl_A10_18_19	9167
A10_LSTB_101_Port	SMT	LSTB	,	rl_A10_18_19	9792
A10_LSTB_102_Port	SMT	LSTB	,	rl_A10_20_21	1042
A10_LSTB_103_Port	SMT	LSTB	,	rl_A10_20_21	1667
A10_LSTB_104_Port	SMT	LSTB	,	rl_A10_20_21	2292
A10_LSTB_105_Port	SMT	LSTB	,	rl_A10_20_21	2917
A10_LSTB_106_Port	SMT	LSTB	,	rl_A10_20_21	3542
A10_LSTB_107_Port	SMT	LSTB	,	rl_A10_20_21	4167
A10_LSTB_108_Port	SMT	LSTB	,	rl_A10_20_21	4792
A10_LSTB_109_Port	SMT	LSTB	,	rl_A10_20_21	5417
A10_LSTB_10_Port	SMT	LSTB	,	rl_A10_2_3	6667
A10_LSTB_110_Port	SMT	LSTB	,	rl_A10_20_21	6042
A10_LSTB_111_Port	SMT	LSTB	,	rl_A10_20_21	6667
A10_LSTB_112_Port	SMT	LSTB	,	rl_A10_20_21	7292
A10_LSTB_113_Port	SMT	LSTB	,	rl_A10_20_21	7917
A10_LSTB_114_Port	SMT	LSTB	,	rl_A10_20_21	8542
A10_LSTB_115_Port	SMT	LSTB	,	rl_A10_20_21	9167
A10_LSTB_116_Port	SMT	LSTB	,	rl_A10_20_21	9792
A10_LSTB_117_Port	SMT	LSTB	,	rl_A10_20_21	10417
A10_LSTB_118_Port	SMT	LSTB	,	rl_A10_20_21	11042
A10_LSTB_119_Port	SMT	LSTB	,	rl_A10_20_21	11667
A10_LSTB_11_Port	SMT	LSTB	,	rl_A10_2_3	7292
A10_LSTB_120_Port	SMT	LSTB	,	rl_A10_20_21	12292
A10_LSTB_121_Port	SMT	LSTB	,	rl_A10_20_21	12917
A10_LSTB_122_Port	SMT	LSTB	,	rl_A10_22_23	1042
