NAME	FAB_NAME	BAY_NAME	FROM_NODE	TO_NODE	MAX_SPEED	CURVE
rl_A10_10_11	SMT	A10	rn_A10_10	rn_A10_11	1	0
rl_A10_11_12	SMT	A10	rn_A10_11	rn_A10_12	1	0
rl_A10_11_13	SMT	A10	rn_A10_11	rn_A10_13	1	1
rl_A10_12_InterBay3_374	SMT	InterBay3	rn_A10_12	rn_InterBay3_374	1	1
rl_A10_13_14	SMT	A10	rn_A10_13	rn_A10_14	1	0
rl_A10_14_16	SMT	A10	rn_A10_14	rn_A10_16	1	1
rl_A10_15_16	SMT	A10	rn_A10_15	rn_A10_16	1	0
rl_A10_16_17	SMT	A10	rn_A10_16	rn_A10_17	1	0
rl_A10_17_18	SMT	A10	rn_A10_17	rn_A10_18	1	0
rl_A10_18_19	SMT	A10	rn_A10_18	rn_A10_19	1	0
rl_A10_19_20	SMT	A10	rn_A10_19	rn_A10_20	1	0
rl_A10_19_31	SMT	A10	rn_A10_19	rn_A10_31	1	1
rl_A10_1_2	SMT	A10	rn_A10_1	rn_A10_2	1	0
rl_A10_20_21	SMT	A10	rn_A10_20	rn_A10_21	1	0
rl_A10_21_22	SMT	A10	rn_A10_21	rn_A10_22	1	0
rl_A10_22_23	SMT	A10	rn_A10_22	rn_A10_23	1	0
rl_A10_23_24	SMT	A10	rn_A10_23	rn_A10_24	1	0
rl_A10_23_35	SMT	A10	rn_A10_23	rn_A10_35	1	1
rl_A10_24_25	SMT	A10	rn_A10_24	rn_A10_25	1	0
rl_A10_25_26	SMT	A10	rn_A10_25	rn_A10_26	1	0
rl_A10_25_27	SMT	A10	rn_A10_25	rn_A10_27	1	1
rl_A10_26_InterBay2_243	SMT	InterBay2	rn_A10_26	rn_InterBay2_243	1	1
rl_A10_27_28	SMT	A10	rn_A10_27	rn_A10_28	1	0
rl_A10_28_2	SMT	A10	rn_A10_28	rn_A10_2	1	1
rl_A10_29_30	SMT	A10	rn_A10_29	rn_A10_30	1	0
rl_A10_2_3	SMT	A10	rn_A10_2	rn_A10_3	1	0
rl_A10_30_22	SMT	A10	rn_A10_30	rn_A10_22	1	1
rl_A10_31_32	SMT	A10	rn_A10_31	rn_A10_32	1	0
rl_A10_32_8	SMT	A10	rn_A10_32	rn_A10_8	1	1
rl_A10_33_34	SMT	A10	rn_A10_33	rn_A10_34	1	0
rl_A10_34_A9_18	SMT	A10	rn_A10_34	rn_A9_18	1	1
rl_A10_35_36	SMT	A10	rn_A10_35	rn_A10_36	1	0
rl_A10_36_A11_4	SMT	A10	rn_A10_36	rn_A11_4	1	1
rl_A10_3_4	SMT	A10	rn_A10_3	rn_A10_4	1	0
rl_A10_4_5	SMT	A10	rn_A10_4	rn_A10_5	1	0
rl_A10_5_29	SMT	A10	rn_A10_5	rn_A10_29	1	1
rl_A10_5_6	SMT	A10	rn_A10_5	rn_A10_6	1	0
rl_A10_6_7	SMT	A10	rn_A10_6	rn_A10_7	1	0
rl_A10_7_8	SMT	A10	rn_A10_7	rn_A10_8	1	0
rl_A10_8_9	SMT	A10	rn_A10_8	rn_A10_9	1	0
rl_A10_9_10	SMT	A10	rn_A10_9	rn_A10_10	1	0
rl_A10_9_33	SMT	A10	rn_A10_9	rn_A10_33	1	1
rl_A11_10_11	SMT	A11	rn_A11_10	rn_A11_11	1	0
rl_A11_11_12	SMT	A11	rn_A11_11	rn_A11_12	1	0
rl_A11_11_13	SMT	A11	rn_A11_11	rn_A11_13	1	1
rl_A11_12_InterBay3_383	SMT	InterBay3	rn_A11_12	rn_InterBay3_383	1	1
rl_A11_13_14	SMT	A11	rn_A11_13	rn_A11_14	1	0
rl_A11_14_16	SMT	A11	rn_A11_14	rn_A11_16	1	1
rl_A11_15_16	SMT	A11	rn_A11_15	rn_A11_16	1	0
rl_A11_16_17	SMT	A11	rn_A11_16	rn_A11_17	1	0
rl_A11_17_18	SMT	A11	rn_A11_17	rn_A11_18	1	0
rl_A11_18_19	SMT	A11	rn_A11_18	rn_A11_19	1	0
rl_A11_19_20	SMT	A11	rn_A11_19	rn_A11_20	1	0
rl_A11_19_31	SMT	A11	rn_A11_19	rn_A11_31	1	1
rl_A11_1_2	SMT	A11	rn_A11_1	rn_A11_2	1	0
rl_A11_20_21	SMT	A11	rn_A11_20	rn_A11_21	1	0
rl_A11_21_22	SMT	A11	rn_A11_21	rn_A11_22	1	0
rl_A11_22_23	SMT	A11	rn_A11_22	rn_A11_23	1	0
rl_A11_23_24	SMT	A11	rn_A11_23	rn_A11_24	1	0
rl_A11_23_35	SMT	A11	rn_A11_23	rn_A11_35	1	1
rl_A11_24_25	SMT	A11	rn_A11_24	rn_A11_25	1	0
rl_A11_25_26	SMT	A11	rn_A11_25	rn_A11_26	1	0
rl_A11_25_27	SMT	A11	rn_A11_25	rn_A11_27	1	1
rl_A11_26_InterBay2_235	SMT	InterBay2	rn_A11_26	rn_InterBay2_235	1	1
rl_A11_27_28	SMT	A11	rn_A11_27	rn_A11_28	1	0
rl_A11_28_2	SMT	A11	rn_A11_28	rn_A11_2	1	1
rl_A11_29_30	SMT	A11	rn_A11_29	rn_A11_30	1	0
rl_A11_2_3	SMT	A11	rn_A11_2	rn_A11_3	1	0
rl_A11_30_22	SMT	A11	rn_A11_30	rn_A11_22	1	1
rl_A11_31_32	SMT	A11	rn_A11_31	rn_A11_32	1	0
rl_A11_32_8	SMT	A11	rn_A11_32	rn_A11_8	1	1
rl_A11_33_34	SMT	A11	rn_A11_33	rn_A11_34	1	0
rl_A11_34_A10_18	SMT	A11	rn_A11_34	rn_A10_18	1	1
rl_A11_35_36	SMT	A11	rn_A11_35	rn_A11_36	1	0
rl_A11_36_A12_4	SMT	A11	rn_A11_36	rn_A12_4	1	1
rl_A11_3_4	SMT	A11	rn_A11_3	rn_A11_4	1	0
rl_A11_4_5	SMT	A11	rn_A11_4	rn_A11_5	1	0
rl_A11_5_29	SMT	A11	rn_A11_5	rn_A11_29	1	1
rl_A11_5_6	SMT	A11	rn_A11_5	rn_A11_6	1	0
rl_A11_6_7	SMT	A11	rn_A11_6	rn_A11_7	1	0
rl_A11_7_8	SMT	A11	rn_A11_7	rn_A11_8	1	0
rl_A11_8_9	SMT	A11	rn_A11_8	rn_A11_9	1	0
rl_A11_9_10	SMT	A11	rn_A11_9	rn_A11_10	1	0
rl_A11_9_33	SMT	A11	rn_A11_9	rn_A11_33	1	1
rl_A12_10_11	SMT	A12	rn_A12_10	rn_A12_11	1	0
rl_A12_11_12	SMT	A12	rn_A12_11	rn_A12_12	1	0
rl_A12_11_13	SMT	A12	rn_A12_11	rn_A12_13	1	1
rl_A12_12_InterBay3_392	SMT	InterBay3	rn_A12_12	rn_InterBay3_392	1	1
rl_A12_13_14	SMT	A12	rn_A12_13	rn_A12_14	1	0
rl_A12_14_16	SMT	A12	rn_A12_14	rn_A12_16	1	1
rl_A12_15_16	SMT	A12	rn_A12_15	rn_A12_16	1	0
rl_A12_16_17	SMT	A12	rn_A12_16	rn_A12_17	1	0
rl_A12_17_18	SMT	A12	rn_A12_17	rn_A12_18	1	0
rl_A12_18_19	SMT	A12	rn_A12_18	rn_A12_19	1	0
rl_A12_19_20	SMT	A12	rn_A12_19	rn_A12_20	1	0
rl_A12_19_31	SMT	A12	rn_A12_19	rn_A12_31	1	1
rl_A12_1_2	SMT	A12	rn_A12_1	rn_A12_2	1	0
rl_A12_20_21	SMT	A12	rn_A12_20	rn_A12_21	1	0
rl_A12_21_22	SMT	A12	rn_A12_21	rn_A12_22	1	0
rl_A12_22_23	SMT	A12	rn_A12_22	rn_A12_23	1	0
rl_A12_23_24	SMT	A12	rn_A12_23	rn_A12_24	1	0
rl_A12_23_35	SMT	A12	rn_A12_23	rn_A12_35	1	1
rl_A12_24_25	SMT	A12	rn_A12_24	rn_A12_25	1	0
rl_A12_25_26	SMT	A12	rn_A12_25	rn_A12_26	1	0
rl_A12_25_27	SMT	A12	rn_A12_25	rn_A12_27	1	1
rl_A12_26_InterBay2_227	SMT	InterBay2	rn_A12_26	rn_InterBay2_227	1	1
rl_A12_27_28	SMT	A12	rn_A12_27	rn_A12_28	1	0
rl_A12_28_2	SMT	A12	rn_A12_28	rn_A12_2	1	1
rl_A12_29_30	SMT	A12	rn_A12_29	rn_A12_30	1	0
rl_A12_2_3	SMT	A12	rn_A12_2	rn_A12_3	1	0
rl_A12_30_22	SMT	A12	rn_A12_30	rn_A12_22	1	1
rl_A12_31_32	SMT	A12	rn_A12_31	rn_A12_32	1	0
rl_A12_32_8	SMT	A12	rn_A12_32	rn_A12_8	1	1
rl_A12_33_34	SMT	A12	rn_A12_33	rn_A12_34	1	0
rl_A12_34_A11_18	SMT	A12	rn_A12_34	rn_A11_18	1	1
rl_A12_35_36	SMT	A12	rn_A12_35	rn_A12_36	1	0
rl_A12_36_A13_4	SMT	A12	rn_A12_36	rn_A13_4	1	1
rl_A12_3_4	SMT	A12	rn_A12_3	rn_A12_4	1	0
rl_A12_4_5	SMT	A12	rn_A12_4	rn_A12_5	1	0
rl_A12_5_29	SMT	A12	rn_A12_5	rn_A12_29	1	1
rl_A12_5_6	SMT	A12	rn_A12_5	rn_A12_6	1	0
rl_A12_6_7	SMT	A12	rn_A12_6	rn_A12_7	1	0
rl_A12_7_8	SMT	A12	rn_A12_7	rn_A12_8	1	0
rl_A12_8_9	SMT	A12	rn_A12_8	rn_A12_9	1	0
rl_A12_9_10	SMT	A12	rn_A12_9	rn_A12_10	1	0
rl_A12_9_33	SMT	A12	rn_A12_9	rn_A12_33	1	1
rl_A13_10_11	SMT	A13	rn_A13_10	rn_A13_11	1	0
rl_A13_11_12	SMT	A13	rn_A13_11	rn_A13_12	1	0
rl_A13_11_13	SMT	A13	rn_A13_11	rn_A13_13	1	1
rl_A13_12_InterBay3_400	SMT	InterBay3	rn_A13_12	rn_InterBay3_400	1	1
rl_A13_13_14	SMT	A13	rn_A13_13	rn_A13_14	1	0
rl_A13_14_16	SMT	A13	rn_A13_14	rn_A13_16	1	1
rl_A13_15_16	SMT	A13	rn_A13_15	rn_A13_16	1	0
rl_A13_16_17	SMT	A13	rn_A13_16	rn_A13_17	1	0
rl_A13_17_18	SMT	A13	rn_A13_17	rn_A13_18	1	0
rl_A13_18_19	SMT	A13	rn_A13_18	rn_A13_19	1	0
rl_A13_19_20	SMT	A13	rn_A13_19	rn_A13_20	1	0
rl_A13_19_31	SMT	A13	rn_A13_19	rn_A13_31	1	1
rl_A13_1_2	SMT	A13	rn_A13_1	rn_A13_2	1	0
rl_A13_20_21	SMT	A13	rn_A13_20	rn_A13_21	1	0
rl_A13_21_22	SMT	A13	rn_A13_21	rn_A13_22	1	0
rl_A13_22_23	SMT	A13	rn_A13_22	rn_A13_23	1	0
rl_A13_23_24	SMT	A13	rn_A13_23	rn_A13_24	1	0
rl_A13_23_35	SMT	A13	rn_A13_23	rn_A13_35	1	1
rl_A13_24_25	SMT	A13	rn_A13_24	rn_A13_25	1	0
rl_A13_25_26	SMT	A13	rn_A13_25	rn_A13_26	1	0
rl_A13_25_27	SMT	A13	rn_A13_25	rn_A13_27	1	1
