NAME	FAB_NAME	BAY_NAME	FROM_NODE	TO_NODE	MAX_SPEED	CURVE	LENGTH
rl_A10_10_11	SMT	A10	rn_A10_10	rn_A10_11	5000	False	9166.666599999997
rl_A10_11_12	SMT	A10	rn_A10_11	rn_A10_12	5000	False	1250.0
rl_A10_11_13	SMT	A10	rn_A10_11	rn_A10_13	1000	True	2234.3427053592754
rl_A10_12_InterBay3_374	SMT	InterBay3	rn_A10_12	rn_InterBay3_374	1000	True	1500.7164279273077
rl_A10_13_14	SMT	A10	rn_A10_13	rn_A10_14	5000	False	3086.614200000011
rl_A10_14_16	SMT	A10	rn_A10_14	rn_A10_16	1000	True	2234.3427053592754
rl_A10_15_16	SMT	A10	rn_A10_15	rn_A10_16	5000	False	1250.0
rl_A10_16_17	SMT	A10	rn_A10_16	rn_A10_17	5000	False	9166.666599999997
rl_A10_17_18	SMT	A10	rn_A10_17	rn_A10_18	5000	False	1250.0
rl_A10_18_19	SMT	A10	rn_A10_18	rn_A10_19	5000	False	11250.0
rl_A10_19_20	SMT	A10	rn_A10_19	rn_A10_20	5000	False	1250.0
rl_A10_19_31	SMT	A10	rn_A10_19	rn_A10_31	1000	True	2234.3427053592754
rl_A10_1_2	SMT	A10	rn_A10_1	rn_A10_2	5000	False	1250.0
rl_A10_20_21	SMT	A10	rn_A10_20	rn_A10_21	5000	False	14166.666700000002
rl_A10_21_22	SMT	A10	rn_A10_21	rn_A10_22	5000	False	1250.0
rl_A10_22_23	SMT	A10	rn_A10_22	rn_A10_23	5000	False	11250.0
rl_A10_23_24	SMT	A10	rn_A10_23	rn_A10_24	5000	False	1250.0
rl_A10_23_35	SMT	A10	rn_A10_23	rn_A10_35	1000	True	1964.2997406223442
rl_A10_24_25	SMT	A10	rn_A10_24	rn_A10_25	5000	False	9166.666670000006
rl_A10_25_26	SMT	A10	rn_A10_25	rn_A10_26	5000	False	1250.0
rl_A10_25_27	SMT	A10	rn_A10_25	rn_A10_27	1000	True	2234.3427053592754
rl_A10_26_InterBay2_243	SMT	InterBay2	rn_A10_26	rn_InterBay2_243	1000	True	1500.7164001627807
rl_A10_27_28	SMT	A10	rn_A10_27	rn_A10_28	5000	False	3086.614200000011
rl_A10_28_2	SMT	A10	rn_A10_28	rn_A10_2	1000	True	2234.3427053592754
rl_A10_29_30	SMT	A10	rn_A10_29	rn_A10_30	5000	False	3086.614200000011
rl_A10_2_3	SMT	A10	rn_A10_2	rn_A10_3	5000	False	9166.666670000006
rl_A10_30_22	SMT	A10	rn_A10_30	rn_A10_22	1000	True	2234.3427053592754
rl_A10_31_32	SMT	A10	rn_A10_31	rn_A10_32	5000	False	3086.614200000011
