tool_group,n_eq,centroid_x,centroid_y,rep_node_name,rep_node_id,rep_x,rep_y,dist
COMMIT,4,150177.17,70833.07,rn_InterBay2_375,2167,150997.1654,69791.66667,1325.5
COMPLETE,4,150177.17,70833.07,rn_InterBay2_375,2167,150997.1654,69791.66667,1325.5
DE_BE_11,12,1458.43,103668.93,rn_A1_6,391,3086.614173,98125.0,5778.1
DE_BE_12,9,11505.36,113750.07,rn_A1_19,371,9877.165355,113541.6667,1641.5
DE_BE_13,16,18149.3,106963.96,rn_A2_7,462,18211.02363,112291.6667,5328.1
DE_BE_48,14,28443.17,96321.88,rn_A2_22,443,25001.5748,96875.0,3485.8
DE_BE_50,12,36730.73,119965.35,rn_A3_18,474,40125.98425,124791.6667,5900.9
DE_BE_65,13,44097.65,93309.35,rn_A3_22,479,40125.98425,96875.0,5337.4
DE_BE_66,21,55211.84,106493.12,rn_A4_20,513,55250.3937,112291.6667,5798.7
DE_BE_67,14,67697.2,118906.33,rn_A5_19,547,70374.80315,113541.6667,5995.8
DE_BE_69,3,72003.03,95833.39,rn_A5_22,551,70374.80315,96875.0,1932.9
DE_FE_1,7,74179.1,82331.2,rn_A5_35,565,71890.05011,84375.0,3068.7
DE_FE_51,25,84724.83,105045.9,rn_A6_21,586,85499.21259,98125.0,6964.1
DE_FE_53,6,92204.93,119305.63,rn_A7_9,644,93833.07086,124791.6667,5722.5
DE_FE_54,4,102251.87,125520.91,rn_A8_34,672,102138.869,126041.6667,532.9
DE_FE_56,3,102251.87,111250.07,rn_A7_20,621,100623.6221,112291.6667,1932.9
DE_FE_58,3,102251.87,100000.06,rn_A7_21,622,100623.6221,98125.0,2483.4
DE_FE_59,10,105298.36,91843.81,rn_A8_5,676,108957.4803,96875.0,6221.1
DE_FE_62,21,116671.51,104560.12,rn_A8_21,658,115748.0315,98125.0,6501.0
DE_FE_70,14,127477.24,114851.26,rn_A9_31,705,129020.4724,112291.6667,2988.8
DE_FE_71,23,142162.49,107841.13,rn_A10_32,26,141058.2677,112291.6667,4585.5
DE_FE_72,14,151251.9,89240.52,rn_A11_4,67,154330.7087,85625.0,4748.8
DE_FE_86,149,186486.76,107313.29,rn_A13_32,134,186431.496,112291.6667,4978.7
DefMet_BE_33,2,228324.7,130208.42,rn_A16_33,243,228437.5089,126041.6667,4168.3
DefMet_BE_42,1,238371.63,132708.42,rn_A16_16,224,236743.3071,135208.3333,2983.5
DefMet_FE_10,3,238371.63,123819.52,rn_A16_18,226,236743.3071,124791.6667,1896.4
DefMet_FE_106,1,238371.63,116666.74,rn_A16_19,227,236743.3071,113541.6667,3523.9
DefMet_FE_118,2,238371.63,108541.74,rn_A16_20,229,236743.3071,112291.6667,4088.2
DefMet_FE_34,2,238371.63,102708.4,rn_A16_21,230,236743.3071,98125.0,4864.1
DefMet_FE_43,6,238371.63,87708.39,rn_A16_23,232,236743.3071,85625.0,2644.2
Dielectric_BE_20,6,242602.87,84802.35,rn_A16_36,246,243561.9184,84375.0,1050.0
Dielectric_BE_21,8,243449.12,109401.11,rn_A17_7,286,245077.1654,112291.6667,3317.5
Dielectric_BE_27,15,251486.66,116611.19,rn_A17_19,263,251867.7165,113541.6667,3093.1
Dielectric_BE_28,4,256034.79,81995.16,rn_A17_36,282,258686.3278,84375.0,3562.9
Dielectric_BE_60,7,258573.53,96994.11,rn_A18_5,320,260201.5748,96875.0,1632.4
Dielectric_FE_112,11,262226.97,124072.05,rn_A18_9,324,260201.5748,124791.6667,2149.4
Dielectric_FE_130,5,268620.47,111083.4,rn_A18_20,301,266992.1259,112291.6667,2027.7
Dielectric_FE_29,4,268620.47,96041.73,rn_A18_22,303,266992.1259,96875.0,1829.2
Dielectric_FE_30,2,271159.21,78713.91,rn_A19_2,336,275325.9842,75208.33333,5445.3
Dielectric_FE_31,5,273697.95,86471.14,rn_A19_4,355,275325.9842,85625.0,1834.8
Diffusion_BE_123,9,273697.95,106435.25,rn_A19_7,358,275325.9842,112291.6667,6078.5
Diffusion_FE_100,4,273697.95,124791.75,rn_A19_33,351,273810.7372,126041.6667,1255.0
Diffusion_FE_101,10,282740.19,122375.08,rn_A19_18,334,282116.5355,124791.6667,2495.8
Diffusion_FE_120,8,283744.89,97500.06,rn_A19_21,338,282116.5355,98125.0,1744.2
Diffusion_FE_122,6,286283.63,80588.91,rn_A19_36,354,288935.1468,84375.0,4622.2
Diffusion_FE_125,5,288822.37,92500.06,rn_A20_5,424,290450.3937,96875.0,4668.0
Diffusion_FE_126,4,288822.37,105208.4,rn_A20_7,426,290450.3937,112291.6667,7268.0
Diffusion_FE_127,8,288822.37,121822.99,rn_A20_9,428,290450.3937,124791.6667,3385.8
Diffusion_FE_44,7,298869.31,124702.46,rn_A20_18,404,297240.9449,124791.6667,1630.8
Diffusion_FE_94,14,297071.35,93080.42,rn_A20_22,409,297240.9449,96875.0,3798.4
EPI_36,2,283744.89,57083.37,rn_B20_34,1138,283631.7824,57291.66667,237.0
EPI_38,1,283744.89,63161.18,rn_B19_16,1048,282116.5355,66458.33333,3677.3
Implant_119,2,283744.89,48541.7,rn_B19_19,1051,282116.5355,44791.66667,4088.3
Implant_128,11,284668.07,24308.73,rn_B19_22,1055,282116.5355,28125.0,4590.7
Implant_132,7,288822.37,35803.59,rn_B20_6,1141,290450.3937,29375.0,6631.5
Implant_74,2,288822.37,56875.04,rn_B20_33,1137,288935.1468,57291.66667,431.6
Implant_88,2,293845.84,63143.11,rn_B20_16,1118,297240.9449,66458.33333,4745.3
Implant_90,2,298869.31,57083.37,rn_B20_17,1119,297240.9449,57291.66667,1641.6
Implant_91,7,298869.31,38630.98,rn_B20_20,1123,297240.9449,43541.66667,5173.6
LithoMet_BE_18,14,61956.1,38988.12,rn_B5_7,1286,63584.25197,43541.66667,4835.9
LithoMet_FE_19,18,70886.71,44595.41,rn_B5_19,1263,70374.80315,44791.66667,548.2
LithoTrack_BE_117,5,73018.53,12666.67,rn_B5_35,1281,71890.05011,15625.0,3166.3
LithoTrack_FE_115,46,83750.29,35511.98,rn_B6_30,1312,83647.24409,29375.0,6137.8
LithoTrack_FE_95,47,107846.53,36784.15,rn_B8_7,1394,108957.4803,43541.66667,6848.2
LithoTrack_FE_96,2,122453.77,49166.7,rn_B9_8,1431,124081.8898,44791.66667,4668.2
Litho_BE_110,25,9107.06,36487.52,rn_B1_20,1089,9877.165355,43541.66667,7096.1
Litho_BE_93,4,16582.84,56614.62,rn_B2_33,1171,16695.77667,57291.66667,686.4
Litho_BE_99,3,26629.78,58402.82,rn_B3_34,1208,26516.82176,57291.66667,1116.9
Litho_FE_111,22,29168.52,33428.05,rn_B3_6,1213,33335.43307,29375.0,5812.9
Litho_FE_35,2,41754.2,61684.78,rn_B4_34,1244,41641.2312,57291.66667,4394.6
Litho_FE_92,28,44474.28,29750.76,rn_B4_6,1249,48459.84252,29375.0,4003.2
Litho_FE_98,4,46831.68,56041.7,rn_B4_33,1243,46944.59556,57291.66667,1255.1
Litho_REG_BE_63,10,58909.61,15125.01,rn_B4_35,1245,56765.64066,15625.0,2201.5
Litho_REG_FE_64,15,56208.82,46347.82,rn_B4_19,1227,55250.3937,44791.66667,1827.6
Planar_BE_75,19,144458.09,34627.22,rn_B10_30,740,144144.8819,29375.0,5261.5
Planar_FE_76,3,122453.77,58680.59,rn_B9_33,1423,122566.6428,57291.66667,1393.5
Planar_FE_77,2,127477.24,63072.96,rn_B9_16,1404,130872.4409,66458.33333,4794.6
Planar_FE_78,2,132500.71,50312.53,rn_B9_19,1407,130872.4409,44791.66667,5756.0
Planar_FE_79,5,132500.71,28104.18,rn_B9_22,1411,130872.4409,28125.0,1628.4
Planar_FE_80,2,137578.19,15520.84,rn_B9_36,1426,137691.0522,15625.0,153.6
STOCKER,40,150163.78,70833.33,rn_InterBay2_374,2166,149330.3937,69791.66667,1334.0
TF_BE_2,4,152702.61,24739.6,rn_B11_5,784,154330.7087,28125.0,3756.5
TF_BE_23,17,158911.24,42716.61,rn_B11_31,777,159269.2913,43541.66667,899.4
TF_BE_24,4,167827.03,24479.18,rn_B12_5,820,169455.1181,28125.0,3992.8
TF_BE_26,15,173185.39,49157.63,rn_B12_19,799,176245.6693,44791.66667,5331.7
TF_BE_40,21,182936.01,36951.15,rn_B13_7,858,184579.5275,43541.66667,6792.4
TF_FE_103,8,192998.38,36666.69,rn_B13_20,837,191370.0788,43541.66667,7065.2
TF_FE_104,6,194690.87,14131.95,rn_B13_35,853,192885.3257,15625.0,2342.9
TF_FE_113,4,198075.86,43567.74,rn_B14_7,894,199703.937,43541.66667,1628.3
TF_FE_131,7,205252.24,56820.68,rn_B14_17,869,206494.4882,57291.66667,1328.5
TF_FE_3,4,208122.8,34687.52,rn_B14_21,874,206494.4882,29375.0,5556.5
TF_FE_5,3,208122.8,14513.9,rn_B14_35,889,208009.7352,15625.0,1116.8
TF_Met_FE_45,2,213200.28,15312.51,rn_B14_36,890,213313.0995,15625.0,332.2
TF_Met_FE_61,3,213200.28,27048.63,rn_B15_5,928,214828.3465,28125.0,1951.7
WE_BE_14,5,213200.28,42666.69,rn_B15_7,930,214828.3465,43541.66667,1848.3
WE_BE_16,8,219479.61,56462.89,rn_B15_18,906,221618.8976,56041.66667,2180.4
WE_BE_17,2,223247.22,35833.36,rn_B15_21,910,221618.8976,29375.0,6660.5
WE_BE_7,1,223247.22,21666.68,rn_B15_23,912,221618.8976,16875.0,5060.8
WE_BE_81,3,226632.2,14652.79,rn_B15_36,926,228437.5089,15625.0,2050.4
WE_BE_82,10,229329.39,48545.31,rn_B16_8,967,229952.7559,44791.66667,3805.1
WE_BE_9,5,238371.63,50250.03,rn_B16_19,943,236743.3071,44791.66667,5696.1
WE_FE_108,31,247167.49,35958.85,rn_B17_29,990,246929.1339,29375.0,6588.2
WE_FE_41,6,257727.29,21822.93,rn_B18_4,1035,260201.5748,16875.0,5532.1
WE_FE_47,5,258573.53,46416.7,rn_B18_8,1039,260201.5748,44791.66667,2300.3
WE_FE_8,2,258573.53,61458.37,rn_B18_33,1031,258686.3278,57291.66667,4168.2
WE_FE_83,6,268620.47,52401.89,rn_B18_18,1014,266992.1259,56041.66667,3987.4
WE_FE_84,18,271159.21,27112.29,rn_B19_5,1072,275325.9842,28125.0,4288.1
WE_FE_85,2,273697.95,56875.04,rn_B19_33,1067,273810.7372,57291.66667,431.6
